DATA;GODZINA;MODUL;RODZAJ ZAJEC;SALA;PROWADZACY
02/06/2017;16:00 - 17:30;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;17:40 - 18:25;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;18:35 - 19:20;Inżynieria oprogramowania;lab;163a;dr inż. Krystian Gembala
;19:30 - 21:00;Inżynieria oprogramowania;lab;163a;dr inż. Krystian Gembala
03/06/2017;08:55 - 10:25;Sieciowe systemy operacyjne;W;Aula WSTI;dr inż. Stefan Senczyna
;10:40 - 12:10;Inżynieria oprogramowania;W;Aula WSTI;dr inż. Krystian Gembala
;12:25 - 13:55;Inżynieria oprogramowania;W;Aula WSTI;dr inż. Krystian Gembala
;;;;;
;14:40 - 16:10;Fizyka;ćw;19;dr Joanna Studnik
;16:25 - 17:55;Fizyka;ćw;19;dr Joanna Studnik
;18:10 - 19:40;Systemy wbudowane;lab;41;dr inż. Tomasz Rudnicki
16-18.06.2017;;;;;
16/06/2017;16:00 - 17:30;Systemy wbudowane;W;Aula ŚTZN;dr inż. Tomasz Rudnicki
;17:40 - 18:25;Systemy wbudowane;W;Aula ŚTZN;dr inż. Tomasz Rudnicki
;18:35 - 19:20;Języki obiektowe;W;Aula ŚTZN;dr hab. inż. Mariusz Boryczka
;19:30 - 21:00;Języki obiektowe;W;Aula ŚTZN;dr hab. inż. Mariusz Boryczka
17/06/2017;08:00 - 8:45;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;08:55 - 10:25;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;10:40 - 12:10;Podstawy elektroniki i miernictwa;lab;41;dr inż. Tomasz Rudnicki
;12:25 - 13:55;Podstawy elektroniki i miernictwa;lab;41;dr inż. Tomasz Rudnicki
;;;;;
;14:40 - 16:10;Sieciowe systemy operacyjne;ćw;PN 4p;mgr inż. Jarosław Brodziak
;16:25 - 17:55;Sieciowe systemy operacyjne;lab;PN 4p;mgr inż. Jarosław Brodziak
18/06/2017;08:55 - 10:25;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;10:40 - 12:10;Inżynieria oprogramowania;lab;41;dr inż. Krystian Gembala
;12:25 - 13:55;Inżynieria oprogramowania;lab;41;dr inż. Krystian Gembala
;;;;;
;14:40 - 16:10;Język angielski;ćw;20;mgr Ewa Kurka
;16:25 - 17:55;Język angielski;ćw;20;mgr Ewa Kurka
;18:10 - 19:40;Systemy wbudowane;lab;PN 4p;dr inż. Tomasz Rudnicki
;19:50 - 20:35;Systemy wbudowane;lab;PN 4p;dr inż. Tomasz Rudnicki
30.06-02.07.2017;;;;;
30/06/2017;16:00 - 17:30;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;17:40 - 18:25;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;18:35 - 19:20;Inżynieria oprogramowania;lab;41;dr inż. Krystian Gembala
;19:30 - 21:00;Inżynieria oprogramowania;lab;41;dr inż. Krystian Gembala
01/07/2017;12:25 - 13:55;Fizyka;ćw;19;dr Joanna Studnik
;;;;;
;14:40 - 16:10;Język angielski;ćw;19;mgr Ewa Kurka
;16:25 - 17:55;Język angielski;ćw;19;mgr Ewa Kurka
;18:10 - 19:40;Systemy wbudowane;lab;41;dr inż. Tomasz Rudnicki
;19:50 - 20:35;Systemy wbudowane;lab;41;dr inż. Tomasz Rudnicki
02/07/2017;10:40 - 12:10;Podstawy elektroniki i miernictwa;lab;PN 3p;dr inż. Tomasz Rudnicki
;12:25 - 13:55;Podstawy elektroniki i miernictwa;lab;PN 3p;dr inż. Tomasz Rudnicki
;;;;;
;14:40 - 16:10;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;16:25 - 17:55;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;;;;;

